street_ko,street_en,address,dong_ko,dong_en,lng,lat,score
남대문거리,fishing-tackle street,서울시 중구 회현동 일대,회현동,Hoehyeon-dong,126.9774324475,37.5580500713,80
왕십리곱창골목,Wangsimni Gopchang Alley,서울시 중구 황학동 일대,황학동,Hwanghak-dong,127.0204336493,37.568610138,68
남산공원북측순환도로,The north side of Ring-Road,서울시 중구 필동 일대,필동,Gwanghui-dong,126.9959254377,37.5613498068,55
장충단길,Jangchungdan-gil,서울시 중구 장충동 일대,장충동,Pil-dong,127.0005749663,37.5613859155,87
초동길,Chodong-gil,서울시 중구 을지로동 일대,을지로동,Euljiro-dong,126.9976456492,37.5664098491,4
신당동떡볶이골목,Topokki alley,서울시 중구 신당동 일대,신당동,Cheonggu-dong,127.013160116,37.557255013,41
돌담길,Doldam-gil,서울시 중구 소공동 일대,소공동,Sogong-dong,126.9799342986,37.5641304492,34
명동거리,Myeong-dong street,서울시 중구 명동 일대,명동,Myeong-dong,126.9788194313,37.568058597,97
청계천헌책방거리,Cheonggye Stream secondhand bookshop street,서울시 중구 광희동 일대,광희동,Gwanghui-dong,127.0081106,37.5695018,54
필리핀거리,The Philippines Street,서울시 종로구 혜화동 일대,혜화동,Jongno1.2.3.4ga-dong,126.9929898185,37.5819896661,3
북악산길산책로,Bugaksan-gil,서울시 종로구 평창동 일대,평창동,Pyeongchang-dong,126.957402192,37.6178956805,32
청와대앞길,Cheongwadaeap-gil,서울시 종로구 청운효자동 일대,청운효자동,Cheongunhyoja-dong,126.9684554703,37.5896729314,3
동대문생선구이골목,Baked fish Alley,서울시 종로구 종로5.6가동 일대,종로5.6가동,Jongno5.6ga-dong,127.0001901776,37.5736899154,43
인사동문화마당,Insadong Culture Plaza,서울시 종로구 종로1.2.3.4가동 일대,종로1.2.3.4가동,Jongno1.2.3.4ga-dong,126.9873802368,37.5744028289,97
대학로거리,Daehak-ro street,서울시 종로구 이화동 일대,이화동,Ihwa-dong,127.0054112549,37.5771315908,99
삼청동길,Samcheongdong-gil Road,서울시 종로구 삼청동 일대,삼청동,Samcheong-dong,126.9803912024,37.5828099517,65
경복궁뒷길,Gyeongbokgung Palace back street,서울시 종로구 사직동 일대,사직동,Sajik-dong,126.9726262878,37.578389933,63
북악산길산책로,Bugaksan-gil,서울시 종로구 부암동 일대,부암동,Buam-dong,126.9640836947,37.5923458269,56
계동길,Gyedong-gil,서울시 종로구 가회동 일대,가회동,Gahoe-dong,126.9848066184,37.582612384,23
